wxDVFileHeaderVer.1
base (2) - Energy Use| Total,base (2) - Energy Use| Net,base (2) - Fuel Use| Electricity: Total,base (2) - Fuel Use| Electricity: Net,base (2) - Fuel Use| Natural Gas: Total,base (2) - End Use| Electricity: Heating,base (2) - End Use| Electricity: Heating Fans/Pumps,base (2) - End Use| Electricity: Heating Heat Pump Backup,base (2) - End Use| Electricity: Heating Heat Pump Backup Fans/Pumps,base (2) - End Use| Electricity: Cooling,base (2) - End Use| Electricity: Cooling Fans/Pumps,base (2) - End Use| Electricity: Lighting Interior,base (2) - End Use| Electricity: Lighting Garage,base (2) - End Use| Electricity: Lighting Exterior,base (2) - End Use| Electricity: Mech Vent,base (2) - End Use| Electricity: Refrigerator,base (2) - End Use| Electricity: Dishwasher,base (2) - End Use| Electricity: Clothes Washer,base (2) - End Use| Electricity: Clothes Dryer,base (2) - End Use| Electricity: Range/Oven,base (2) - End Use| Electricity: Television,base (2) - End Use| Electricity: Plug Loads,base (2) - End Use| Electricity: Battery,base (2) - End Use| Natural Gas: Hot Water,base (2) - Emissions| CO2e: BEopt: Total,base (2) - Emissions| CO2e: BEopt: Net,base (2) - Emissions| CO2e: BEopt: Electricity: Total,base (2) - Emissions| CO2e: BEopt: Electricity: Net,base (2) - Emissions| CO2e: BEopt: Natural Gas: Total,base (2) - Emissions| CO2e: BEopt: Electricity: Heating,base (2) - Emissions| CO2e: BEopt: Electricity: Heating Fans/Pumps,base (2) - Emissions| CO2e: BEopt: Electricity: Heating Heat Pump Backup,base (2) - Emissions| CO2e: BEopt: Electricity: Heating Heat Pump Backup Fans/Pumps,base (2) - Emissions| CO2e: BEopt: Electricity: Cooling,base (2) - Emissions| CO2e: BEopt: Electricity: Cooling Fans/Pumps,base (2) - Emissions| CO2e: BEopt: Electricity: Lighting Interior,base (2) - Emissions| CO2e: BEopt: Electricity: Lighting Garage,base (2) - Emissions| CO2e: BEopt: Electricity: Lighting Exterior,base (2) - Emissions| CO2e: BEopt: Electricity: Mech Vent,base (2) - Emissions| CO2e: BEopt: Electricity: Refrigerator,base (2) - Emissions| CO2e: BEopt: Electricity: Dishwasher,base (2) - Emissions| CO2e: BEopt: Electricity: Clothes Washer,base (2) - Emissions| CO2e: BEopt: Electricity: Clothes Dryer,base (2) - Emissions| CO2e: BEopt: Electricity: Range/Oven,base (2) - Emissions| CO2e: BEopt: Electricity: Television,base (2) - Emissions| CO2e: BEopt: Electricity: Plug Loads,base (2) - Emissions| CO2e: BEopt: Electricity: Battery,base (2) - Emissions| CO2e: BEopt: Natural Gas: Hot Water,base (2) - Hot Water| Clothes Washer,base (2) - Hot Water| Dishwasher,base (2) - Hot Water| Fixtures,base (2) - Hot Water| Distribution Waste,base (2) - Load| Heating: Delivered,base (2) - Load| Heating: Heat Pump Backup,base (2) - Load| Cooling: Delivered,base (2) - Load| Hot Water: Delivered,base (2) - Load| Hot Water: Tank Losses,base (2) - Component Load| Heating: Roofs,base (2) - Component Load| Heating: Ceilings,base (2) - Component Load| Heating: Walls,base (2) - Component Load| Heating: Doors,base (2) - Component Load| Heating: Windows Conduction,base (2) - Component Load| Heating: Windows Solar,base (2) - Component Load| Heating: Floors,base (2) - Component Load| Heating: Internal Mass,base (2) - Component Load| Heating: Infiltration,base (2) - Component Load| Heating: Mechanical Ventilation,base (2) - Component Load| Heating: Ducts,base (2) - Component Load| Heating: Internal Gains,base (2) - Component Load| Heating: Lighting,base (2) - Component Load| Cooling: Roofs,base (2) - Component Load| Cooling: Ceilings,base (2) - Component Load| Cooling: Walls,base (2) - Component Load| Cooling: Doors,base (2) - Component Load| Cooling: Windows Conduction,base (2) - Component Load| Cooling: Windows Solar,base (2) - Component Load| Cooling: Floors,base (2) - Component Load| Cooling: Internal Mass,base (2) - Component Load| Cooling: Infiltration,base (2) - Component Load| Cooling: Natural Ventilation,base (2) - Component Load| Cooling: Mechanical Ventilation,base (2) - Component Load| Cooling: Ducts,base (2) - Component Load| Cooling: Internal Gains,base (2) - Component Load| Cooling: Lighting,base (2) - Unmet Hours| Heating,base (2) - Unmet Hours| Cooling,base (2) - Unmet Hours| EV Driving,base (2) - Temperature| Garage,base (2) - Temperature| Conditioned Space,base (2) - Temperature| Basement - Unconditioned,base (2) - Temperature| Attic - Vented,base (2) - Temperature| Crawlspace - Unvented,base (2) - Temperature| Heating Setpoint,base (2) - Temperature| Cooling Setpoint,base (2) - Airflow| Infiltration,base (2) - Airflow| Mechanical Ventilation,base (2) - Airflow| Natural Ventilation,base (2) - Weather| Drybulb Temperature,base (2) - Weather| Wetbulb Temperature,base (2) - Weather| Relative Humidity,base (2) - Weather| Wind Speed,base (2) - Weather| Diffuse Solar Radiation,base (2) - Weather| Direct Solar Radiation,base (2) - Resilience| Battery
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kBtu,kBtu,kWh,kWh,kBtu,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kBtu,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,gal,gal,gal,gal,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,hr,hr,hr,F,F,F,F,F,F,F,cfm,cfm,cfm,F,F,%,mph,Btu/(hr*ft^2),Btu/(hr*ft^2),hr
5.442,5.442,1.595,1.595,0.0,0.848,0.155,0.0,0.0,0.0,0.0,0.067,0.005,0.019,0.032,0.04,0.004,0.001,0.015,0.009,0.074,0.25,0.0,0.0,1.16493,1.16493,1.16493,1.16493,0.0,0.65068,0.11882,0.0,0.0,0.0,0.0,0.05154,0.00383,0.01428,0.02418,0.0305,0.00288,0.00074,0.01135,0.00721,0.05696,0.19195,0.0,0.0,0.022,0.04,0.344,0.118,10.647,0.0,0.0,0.295,0.313,1.157,0.186,4.549,0.103,1.166,0.001,1.843,-0.451,0.177,1.689,1.875,-1.473,-0.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.359,71.0,65.508,48.255,60.865,71.0,76.0,9.559,91.097,0.0,53.96,49.731,75.0,9.171,0.0,0.0,0.0
4.979,4.979,1.459,1.459,0.0,0.833,0.151,0.0,0.0,0.0,0.0,0.056,0.004,0.017,0.032,0.039,0.002,0.001,0.009,0.009,0.07,0.236,0.0,0.0,1.11929,1.11929,1.11929,1.11929,0.0,0.63929,0.11611,0.0,0.0,0.0,0.0,0.04295,0.00317,0.01321,0.02418,0.02974,0.00135,0.00058,0.00681,0.00721,0.05371,0.18099,0.0,0.0,0.017,0.019,0.157,0.054,10.402,0.0,0.0,0.139,0.306,1.254,0.203,4.56,0.08,1.069,0.001,1.827,-0.357,0.159,1.572,1.539,-1.326,-0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.871,71.0,65.578,50.826,60.895,71.0,76.0,9.159,90.696,0.0,55.04,50.185,72.0,8.053,0.0,0.0,0.0
6.438,6.438,1.461,1.461,1.453,0.85,0.155,0.0,0.0,0.0,0.0,0.056,0.003,0.017,0.032,0.038,0.001,0.0,0.006,0.005,0.068,0.229,0.0,1.453,1.29063,1.29063,1.12065,1.12065,0.16998,0.65214,0.11916,0.0,0.0,0.0,0.0,0.04295,0.0025,0.01321,0.02418,0.02898,0.00096,0.00033,0.00454,0.00412,0.05208,0.1755,0.0,0.16998,0.01,0.013,0.094,0.032,10.553,0.0,0.0,0.084,0.311,1.295,0.213,4.334,0.067,1.161,0.001,1.826,-0.249,0.179,1.677,1.513,-1.283,-0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.562,71.0,65.531,52.193,60.864,71.0,76.0,9.652,90.496,0.0,53.96,50.082,77.0,8.053,0.0,0.0,0.0
4.96,4.96,1.454,1.454,0.0,0.855,0.157,0.0,0.0,0.0,0.0,0.056,0.004,0.016,0.032,0.037,0.001,0.0,0.003,0.005,0.066,0.222,0.0,0.0,1.11488,1.11488,1.11488,1.11488,0.0,0.65596,0.12048,0.0,0.0,0.0,0.0,0.04295,0.00283,0.0125,0.02418,0.02821,0.00058,0.00033,0.00227,0.00412,0.05045,0.17002,0.0,0.0,0.01,0.008,0.157,0.054,10.569,0.0,0.0,0.128,0.305,1.271,0.215,4.06,0.063,1.207,0.001,1.836,-0.142,0.179,1.764,1.541,-1.239,-0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.158,71.0,65.514,52.645,60.797,71.0,76.0,9.15,90.295,0.0,53.06,50.268,83.0,5.816,0.0,0.0,0.0
6.44,6.44,1.459,1.459,1.463,0.841,0.154,0.0,0.0,0.0,0.0,0.062,0.005,0.016,0.032,0.036,0.001,0.001,0.006,0.009,0.068,0.229,0.0,1.463,1.29002,1.29002,1.11885,1.11885,0.17117,0.64503,0.11845,0.0,0.0,0.0,0.0,0.04724,0.0035,0.0125,0.02418,0.02745,0.00058,0.00058,0.00454,0.00721,0.05208,0.1755,0.0,0.17117,0.017,0.008,0.441,0.152,10.39,0.0,0.0,0.345,0.302,1.223,0.212,3.855,0.063,1.22,0.001,1.85,-0.052,0.187,1.766,1.546,-1.271,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.567,71.0,65.552,52.962,60.733,71.0,76.0,9.561,90.496,0.0,53.06,50.267,83.0,6.935,0.0,0.0,0.0
6.637,6.637,1.505,1.505,1.501,0.826,0.153,0.0,0.0,0.0,0.0,0.101,0.007,0.018,0.032,0.036,0.003,0.001,0.009,0.015,0.07,0.236,0.0,1.501,1.33012,1.33012,1.15447,1.15447,0.17565,0.63363,0.11715,0.0,0.0,0.0,0.0,0.07731,0.00517,0.01392,0.02418,0.02745,0.00192,0.00091,0.00681,0.01132,0.05371,0.18099,0.0,0.17565,0.027,0.027,1.636,0.562,10.143,0.0,0.0,1.261,0.301,1.183,0.208,3.732,0.064,1.293,0.001,1.866,0.027,0.2,1.88,1.519,-1.486,-0.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.809,71.0,65.589,53.107,60.683,71.0,76.0,9.631,90.696,0.0,51.98,50.386,90.0,5.816,0.0,0.0,0.0
10.208,10.208,1.607,1.607,4.724,0.787,0.146,0.0,0.0,0.0,0.0,0.168,0.009,0.02,0.032,0.038,0.005,0.002,0.024,0.034,0.079,0.265,0.0,4.724,1.78549,1.78549,1.23275,1.23275,0.55273,0.60372,0.11161,0.0,0.0,0.0,0.0,0.12884,0.007,0.01571,0.02418,0.02898,0.00385,0.00182,0.01817,0.02574,0.06022,0.20292,0.0,0.55273,0.054,0.054,3.721,1.279,9.652,0.0,0.0,2.853,0.299,1.171,0.207,3.693,0.066,1.309,0.002,1.892,0.131,0.207,1.901,1.484,-1.837,-0.573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.947,71.0,65.603,53.15,60.646,71.0,76.0,9.96,91.698,0.0,51.98,50.386,90.0,6.935,0.0,0.0,0.0
9.058,9.058,1.731,1.731,3.151,0.771,0.142,0.0,0.0,0.0,0.0,0.213,0.009,0.019,0.032,0.04,0.008,0.005,0.047,0.056,0.089,0.3,0.0,3.151,1.69662,1.69662,1.32801,1.32801,0.36861,0.59109,0.10928,0.0,0.0,0.0,0.0,0.1632,0.00684,0.01464,0.02418,0.0305,0.00596,0.00406,0.03633,0.04324,0.06835,0.23034,0.0,0.36861,0.12,0.083,3.68,1.265,9.444,0.0,0.0,2.883,0.299,1.146,0.202,3.657,0.067,1.321,0.002,1.9,0.156,0.214,1.936,1.413,-1.847,-0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.04,71.0,65.576,53.188,60.62,71.0,76.0,10.327,93.301,0.0,51.98,50.387,90.0,8.053,0.0,0.0,0.0
9.1,9.1,1.756,1.756,3.11,0.742,0.136,0.0,0.0,0.0,0.0,0.23,0.007,0.014,0.032,0.041,0.015,0.008,0.071,0.062,0.091,0.307,0.0,3.11,1.71042,1.71042,1.34653,1.34653,0.36389,0.56893,0.10447,0.0,0.0,0.0,0.0,0.17609,0.00567,0.01107,0.02418,0.03126,0.01115,0.00604,0.0545,0.04736,0.06998,0.23583,0.0,0.36389,0.179,0.155,2.996,1.03,9.133,0.0,0.0,2.435,0.298,1.149,0.201,3.659,0.066,1.137,-0.169,1.92,0.212,0.19,1.853,1.384,-1.686,-0.783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.196,71.0,65.548,53.709,60.607,71.0,76.0,9.707,94.904,0.0,53.06,51.435,90.0,8.053,12.046,0.634,0.0
8.961,8.961,1.727,1.727,3.067,0.692,0.126,0.0,0.0,0.0,0.0,0.23,0.006,0.012,0.032,0.041,0.016,0.009,0.101,0.064,0.091,0.307,0.0,3.067,1.68372,1.68372,1.32488,1.32488,0.35883,0.53064,0.0969,0.0,0.0,0.0,0.0,0.17609,0.00483,0.00893,0.02418,0.03126,0.0125,0.00712,0.07721,0.04941,0.06998,0.23583,0.0,0.35883,0.211,0.174,2.328,0.8,8.545,0.0,0.0,1.967,0.298,1.205,0.211,3.693,0.059,0.769,-0.684,1.979,0.408,0.16,1.793,1.338,-1.602,-0.783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.591,71.0,65.527,55.252,60.611,71.0,76.0,8.625,96.908,0.0,53.96,52.309,90.0,6.935,44.063,1.268,0.0
8.719,8.719,1.666,1.666,3.035,0.648,0.118,0.0,0.0,0.0,0.0,0.218,0.006,0.011,0.032,0.04,0.014,0.009,0.115,0.056,0.091,0.307,0.0,3.035,1.63265,1.63265,1.27754,1.27754,0.35511,0.4968,0.09015,0.0,0.0,0.0,0.0,0.1675,0.0045,0.00857,0.02418,0.0305,0.01077,0.00695,0.08857,0.04324,0.06998,0.23583,0.0,0.35511,0.206,0.15,1.886,0.648,8.033,0.0,0.0,1.62,0.297,1.127,0.196,3.427,0.046,0.76,-0.575,1.97,0.325,0.148,1.693,1.252,-1.59,-0.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.197,71.0,65.489,57.149,60.636,71.0,76.0,8.558,97.91,0.0,55.04,53.357,90.0,8.053,41.21,1.268,0.0
6.845,6.845,1.566,1.566,1.503,0.556,0.1,0.0,0.0,0.0,0.0,0.207,0.005,0.011,0.032,0.04,0.012,0.008,0.12,0.067,0.093,0.315,0.0,1.503,1.37677,1.37677,1.20098,1.20098,0.1758,0.42634,0.07651,0.0,0.0,0.0,0.0,0.15891,0.00417,0.00857,0.02418,0.0305,0.00923,0.00621,0.09197,0.05147,0.07161,0.24131,0.0,0.1758,0.184,0.129,1.481,0.509,6.949,0.0,0.0,1.287,0.293,1.158,0.21,3.282,0.036,0.307,-1.178,2.062,0.644,0.125,1.48,1.177,-1.641,-0.707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.061,71.0,65.444,59.681,60.688,71.0,76.0,8.297,98.21,0.0,57.02,55.279,90.0,9.171,82.103,0.951,0.0
25.61,25.61,7.069,7.069,1.489,0.51,0.092,0.0,0.0,0.0,0.0,0.202,0.005,0.012,0.032,0.042,0.01,0.007,0.11,0.077,0.095,0.322,5.555,1.489,5.59641,5.59641,5.42226,5.42226,0.17416,0.39153,0.07027,0.0,0.0,0.0,0.0,0.15461,0.0035,0.00928,0.02418,0.03203,0.00788,0.00555,0.08402,0.05868,0.07324,0.2468,4.26069,0.17416,0.165,0.11,1.072,0.368,6.37,0.0,0.0,0.958,0.29,0.935,0.176,2.752,0.022,0.531,-0.731,2.024,0.449,0.107,1.467,1.018,-1.692,-0.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.041,71.0,65.34,61.897,60.753,71.0,76.0,7.064,97.509,0.0,57.02,55.807,93.0,6.935,53.89,0.317,2.0
