Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Mains Water Temperature [C](Hourly),LIVING_1:Zone Total Internal Latent Gain Energy [J](Hourly),LIVING_1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),WALLEAST:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WALLWEST:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WALLSOUTH:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WALLNORTH:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),HORIZONTAL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),LIVING_1:Zone Mean Air Temperature [C](Hourly),LIVING_1:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](Hourly),UNFINISHEDATTIC:Zone Mean Air Temperature [C](Hourly),UNFINISHEDATTIC:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](Hourly),UNFINISHEDATTIC:Zone Infiltration Current Density Volume Flow Rate [m3/s](Hourly),LIVING_1:Zone Infiltration Latent Heat Loss Energy [J](Hourly),LIVING_1:Zone Infiltration Latent Heat Gain Energy [J](Hourly),LIVING_1:Zone Ventilation Latent Heat Loss Energy [J](Hourly),LIVING_1:Zone Ventilation Latent Heat Gain Energy [J](Hourly),EMS:Zone Infil Flow Rate_1 [m3/s](Hourly),EMS:Zone Infil/MechVent Flow Rate_1 [m3/s](Hourly),EMS:Whole House Fan Vent Flow Rate_1 [m3/s](Hourly),EMS:Range Hood Fan Vent Flow Rate_1 [m3/s](Hourly),EMS:Bath Exhaust Fan Vent Flow Rate_1 [m3/s](Hourly),EMS:Clothes Dryer Exhaust Fan Vent Flow Rate_1 [m3/s](Hourly),EMS:Local Wind Speed_1 [m/s](Hourly),EMS:Zone Natural Ventilation Flow Rate_1 [m3/s](Hourly),EMS:HPWH_sens_clg_OutputVariable_1 [J](Hourly),EMS:HPWH_lat_clg_OutputVariable_1 [J](Hourly),LIVING_1:Zone Air Relative Humidity [%](Hourly),LIVING_1:Zone Thermostat Heating Setpoint Temperature [C](Hourly),LIVING_1:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),UNFINISHEDATTIC:Zone Air Relative Humidity [%](Hourly),DOMESTIC HOT WATER_1:Water Use Connections Hot Water Volume [m3](Hourly),DOMESTIC HOT WATER_1:Water Use Connections Cold Water Volume [m3](Hourly),DOMESTIC HOT WATER_1:Water Use Connections Hot Water Temperature [C](Hourly),LIVING SUPPLY NODE_1:System Node Current Density Volume Flow Rate [m3/s](Hourly),AIR SUPPLY OUTLET NODE_1:System Node Temperature [C](Hourly),AIR SUPPLY OUTLET NODE_1:System Node Current Density Volume Flow Rate [m3/s](Hourly),WATER HEATER USE INLET NODE_1:System Node Temperature [C](Hourly),COOLING:ELECTRICITY_1 [J](Hourly),HEATING:ELECTRICITY_1 [J](Hourly),COOLING HVAC FAN PUMP_1 [J](Hourly),HEATING HVAC FAN PUMP_1 [J](Hourly),WATERHEATING:ELECTRICITY_1 [J](Hourly),SDHWPUMP:ELECTRICITY_1 [J](Hourly),HPWHFAN:ELECTRICITY_1 [J](Hourly),TOTALLIGHTS:ELECTRICITY_1 [J](Hourly),Appl_1:InteriorEquipment:Electricity [J](Hourly),VentFans_1:InteriorEquipment:Electricity [J](Hourly),Misc_1:InteriorEquipment:Electricity [J](Hourly),HEATING:GAS_1 [J](Hourly),WATERHEATING:GAS_1 [J](Hourly),Misc_1:InteriorEquipment:Gas [J](Hourly),HEATING:FUELOIL_1 [m3](Hourly),WATERHEATING:FUELOIL_1 [m3](Hourly),HEATING:PROPANE_1 [m3](Hourly),WATERHEATING:PROPANE_1 [m3](Hourly),PV:ELECTRICITY_1 [J](Hourly),METERDELIVEREDHEATINGTOZONE_1 [J](Hourly),METERDELIVEREDHEATINGSUPP_1 [J](Hourly),METERHEATINGDUCTLOSSES_1 [J](Hourly),METERDELIVEREDCOOLINGSENS_1 [J](Hourly),METERDELIVEREDCOOLINGLATENTHVAC_1 [J](Hourly),METERDELIVEREDCOOLINGLATENTDEHUM_1 [J](Hourly),METERCOOLINGDUCTLOSSESSENS_1 [J](Hourly),METERCOOLINGDUCTLOSSESLATENT_1 [J](Hourly),METERDHWDELIVERED_1 [J](Hourly),METERPIPELOSSESUNIT_1 [J](Hourly),ELECTRICITY:UNIT_1 [J](Hourly),GAS:UNIT_1 [J](Hourly),PROPANE:UNIT_1 [m3](Hourly),FUELOIL:UNIT_1 [m3](Hourly) 
 01/01  01:00:00,11.191666666666669,3.4499999999999999,8.3859652293225,0.0058259117386585119,99999.40770622576,4.058333333333334,248.33333333333335,0.9233293915977517,319.9166666666667,0.0,0.0,15.34179240702836,1.2141232436227719,16.977854333778024,486511.8021383836,0.0,0.0,0.0,0.0,0.0,0.0,21.666666483978344,0.008006945818825416,9.65137830827838,0.005532836008243711,0.3395718484848229,1029678.799082343,0.0,0.0,0.0,0.04406389944387617,0.04406389944387617,0.0,0.0,0.0,0.0,2.1326172556174205,0.0,0.0,0.0,49.04442821409898,21.666666666666669,21.666666666666669,73.62364232514268,0.0007148582195296786,0.00021721890187421185,51.27204556335803,0.11650271147111031,48.888888888889,0.11650271147111031,16.97785433377803,0.0,12185410.01794879,0.0,463490.9831028095,0.0,0.0,0.0,232101.3385102575,373679.44523597307,0.0,523353.0788391353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10509404.083044913,0.0,1676359.0641831777,0.0,0.0,0.0,0.0,0.0,102683.14450492217,27971.179850134722,13778034.863636965,0.0,0.0,0.0 
 01/01  02:00:00,14.75,7.983333333333334,11.312710802962317,0.007068540947807231,99708.5175236147,4.516666666666667,195.83333333333335,1.3699733062306337,322.0,0.0,0.0,15.34179240702836,1.193166972330926,16.977854333778024,481360.904697365,0.0,0.0,0.0,0.0,0.0,0.0,21.666666591346627,0.008000451523971013,12.2226080108638,0.005764280876428659,0.3840802553110876,462147.1689303064,0.0,0.0,0.0,0.045010217639456919,0.045010217639456919,0.0,0.0,0.0,0.0,2.3734672536850964,0.0,0.0,0.0,48.86255121138186,21.666666666666669,21.666666666666669,64.33066713752432,0.0,0.0,51.59660903258838,0.11500133946223179,48.88888888888892,0.11500133946223179,16.977854333778024,0.0,11997428.070779382,0.0,352303.9196843202,0.0,0.0,0.0,139260.80310615447,328133.8900845455,0.0,493447.1886197561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10531795.416893047,0.0,1465718.60517109,0.0,-0.6161708414211631,0.0,0.0,0.6161708414211631,0.0,14008.038705043386,13310573.872274157,0.0,0.0,0.0 
 01/01  03:00:00,15.0,10.183333333333334,11.992418235984907,0.0076388394712040498,99687.33224420889,3.8083333333333337,194.16666666666667,-0.27137572430970166,314.4166666666667,0.0,0.0,15.34179240702836,1.1907982684842707,16.977854333778024,475369.741098215,0.0,0.0,0.0,0.0,0.0,0.0,21.666666666666683,0.008008769665275728,13.331242251331572,0.006116352226382881,0.3219913165969144,150788.55653874737,0.0,0.0,0.0,0.037013768010169,0.037013768010169,0.0,0.0,0.0,0.0,2.0012445293986884,0.0,0.0,0.0,48.90231319036642,21.666666666666669,21.666666666666669,63.41663598645075,0.0,0.0,51.59660903258838,0.10128856148768802,48.88888888888895,0.10128856148768802,16.977854333778024,0.0,10565180.217232872,0.0,358624.6479583329,0.0,0.0,0.0,92840.53540410308,286208.78738097797,0.0,478494.24351006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9269708.131781716,0.0,1295472.0854511578,0.0,-110.45075905202441,0.0,0.0,110.45075905202441,0.0,3502.0096762608546,11781348.431486354,0.0,0.0,0.0 
 01/01  04:00:00,15.35,12.091666666666667,13.294660338033529,0.008835652778732505,99680.81369669938,4.183333333333334,201.66666666666667,-6.700632441988414,286.25,0.0,0.0,15.34179240702836,1.187021001194705,16.977854333778024,474247.392149854,0.0,0.0,0.0,0.0,0.0,0.0,21.666666666666687,0.008032691158948934,13.797097427213407,0.0065395745557788429,0.3454866463276978,0.0,371222.34221008667,0.0,0.0,0.04100055285886358,0.04100055285886358,0.0,0.0,0.0,0.0,2.1983036187267865,0.0,0.0,0.0,49.0433135534058,21.666666666666669,21.666666666666669,65.72614220806841,0.0,0.0,51.59660903258838,0.10171956844810122,48.88888888888897,0.10171956844810122,16.977854333778024,0.0,10608451.594379524,0.0,348001.88534711216,0.0,0.0,0.0,92840.53540410308,260475.54927234099,0.0,463541.29840037706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9367642.502659385,0.0,1240809.0917201397,0.0,-292.72951013406449,0.0,0.0,292.72951013406449,0.0,3502.0096762608546,11773310.862803458,0.0,0.0,0.0 
 01/01  05:00:00,15.891666666666666,13.441666666666669,14.771265865047172,0.010206826470409516,99667.7766016804,5.241666666666666,215.83333333333335,-17.121004625825845,244.33333333333335,0.0,0.0,15.34179240702836,1.1820715587563505,16.977854333778024,480813.9339445329,0.0,0.0,0.0,0.0,0.0,0.0,21.666666666666619,0.008089459370106675,14.090341892392829,0.007266950699629182,0.4228832855891218,0.0,1235754.8835618178,0.0,0.0,0.05363208870836624,0.05363208870836624,0.0,0.0,0.0,0.0,2.75444815971942,0.0,0.0,0.0,49.378984646416537,21.666666666666669,21.666666666666669,71.56918254657835,0.0,0.0,51.59660903258838,0.09691318475738249,48.88888888888889,0.09691318475738249,16.977854333778024,0.0,10104487.415495953,0.0,337528.4237037217,0.0,0.0,0.0,103217.7830885943,290558.8098442162,0.0,478494.24351006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8911117.93446275,0.0,1193369.4810332037,0.0,-697.0842268906808,0.0,0.0,697.0842268906808,0.0,14008.038705043386,11314286.675642552,0.0,0.0,0.0 
 01/01  06:00:00,15.808333333333332,13.549999999999999,15.232932580823582,0.010758000314118185,99655.5543251001,5.7,220.0,-23.69908405900999,219.58333333333335,0.0,0.0,15.34179240702836,1.1812368501493867,16.977854333778024,489024.5211193705,0.0,0.0,0.0,0.0,0.0,0.0,21.666666666666634,0.008178987085091792,13.97795047929405,0.008154482051063596,0.4546698014012304,0.0,1655868.1010761399,0.0,0.0,0.059670128337685948,0.059670128337685948,0.0,0.0,0.0,0.0,2.995298157787096,0.0,0.0,0.0,49.91226615121215,21.666666666666669,21.666666666666669,80.80428100553026,0.0,0.0,51.59660903258838,0.09839090840040553,48.888888888888939,0.09839090840040553,16.977854333778024,0.0,10255818.270546515,0.0,337432.5163199203,0.0,0.0,0.0,283217.4877937355,331960.2796802477,0.0,493447.1886197561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9062263.166671323,0.0,1193555.103875194,0.0,-1126.297864313069,0.0,0.0,1126.297864313069,0.0,97921.57825544752,11701875.742960174,0.0,0.0,0.0 
 01/01  07:00:00,15.599999999999996,13.65,15.19796953975252,0.010803915153700156,99661.25805417092,5.7,220.0,-24.661489053155589,216.16666666666667,2.5,31.25,15.34179240702836,1.1820707322191946,16.977854333778024,518081.4079181159,255699.63447627997,17.335379601433727,1.6404075679575803,1.7016234273743727,32.01653656727558,2.86601969260056,21.666666666666687,0.008285477610834785,13.619487656404985,0.008871784779903816,0.4564903315095434,0.0,2091155.0329060294,0.0,0.0,0.02993146306444459,0.07712620706444458,0.0,0.0,0.047194744000000007,0.0,2.995298157787096,0.0,0.0,0.0,50.556477187556378,21.666666666666669,21.666666666666669,89.8741837409794,0.0,0.0,51.59660903258838,0.09629527343245793,48.888888888889,0.09629527343245793,16.977854333778024,0.0,10037065.90470763,0.0,334960.683196973,0.0,0.0,0.0,664916.4800206664,518425.7418022369,90000.0,553258.9690585142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8840736.188035427,0.0,1196329.716672203,0.0,-1305.4475802439326,0.0,0.0,1305.4475802439326,0.0,335699.0557615686,12198627.77878602,0.0,0.0,0.0 
 01/01  08:00:00,15.891666666666666,13.9,15.486326230249697,0.011009853148726013,99676.73960450595,5.7,220.0,-23.265666697686613,221.08333333333335,29.0,395.0833333333333,15.34179240702836,1.1806774838911525,16.977854333778024,510494.4908810699,3633346.280852545,275.41037688020978,24.269582189319995,25.23612330845312,409.2731384903083,81.84571832069412,21.666666666666648,0.0083920003664034,13.816685192434086,0.009420954184903904,0.4595924827425526,0.0,1691441.8000122435,0.0,0.0,0.060070852775273988,0.060070852775273988,0.0,0.0,0.0,0.0,2.995298157787096,0.0,0.0,0.0,51.20576664689003,21.666666666666669,21.666666666666669,94.13602456514252,0.0021805287428746358,0.0006803869666523501,51.54102534145023,0.0751650118183048,48.88888888888894,0.0751650118183048,16.977854333778024,0.0,7835843.558170982,0.0,273475.5896341049,0.0,0.0,0.0,841434.6646481536,780520.0196475287,18000.0,628023.6946069624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6859476.676434801,0.0,976366.88173618,0.0,-1121.1379155213442,0.0,0.0,1121.1379155213442,315175.4446834717,356666.2162591815,10377297.526707732,0.0,0.0,0.0 
 01/01  09:00:00,16.099999999999999,13.9,14.899938859106982,0.010260663033517222,99707.70270517604,5.7,214.16666666666667,-19.586400800056123,234.5,47.916666666666667,677.1666666666666,15.34179240702836,1.1815923844318659,16.977854333778024,384649.28313446577,6108993.8945689559,533.2220251075723,50.9628621343908,52.7108226554795,574.6137247470816,247.21217511033226,21.666666666666658,0.008480795586021049,14.969386118409333,0.009788654828412595,0.45004883501111317,0.0,1158640.1871989649,0.0,0.0,0.06051919799100989,0.06051919799100989,0.0,0.0,0.0,0.0,2.995298157787096,0.0,0.0,0.0,51.756363409502657,21.666666666666669,21.666666666666669,90.7820915147061,0.0208426749572335,0.006412046103823411,51.44249653154166,0.05280261085333229,48.888888888888917,0.05280261085333229,16.977854333778024,0.0,5506201.988573687,0.0,193671.57903830644,4083106.7431630438,0.0,0.0,894208.7227785434,966528.6298489412,0.0,642976.6397166518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4833008.188703476,0.0,673193.7998702109,0.0,-796.0069783806365,0.0,0.0,796.0069783806365,3002541.739184213,342658.1775541382,12286694.303119176,0.0,0.0,0.0 
 01/01  10:00:00,16.45,14.010137007760532,14.075802314140545,0.009207535614986348,99712.59161580814,5.3500000000000009,210.0,-16.783997068380747,244.91666666666667,62.416666666666667,802.0833333333334,15.34179240702836,1.182191074295601,16.977854333778024,1843352.324933898,6770757.941164998,710.7232185145843,73.41929507318067,75.6446133894399,529.7565308929956,405.1464661308676,21.670400336364979,0.00854746421882574,16.705477131884039,0.009760087846713379,0.41429572745410617,0.0,405450.27446000269,0.0,0.0,0.056275394516525089,0.056275394516525089,0.0,0.0,0.0,0.0,2.8113763410808709,0.0,0.0,0.0,52.14827674941133,21.666666666666669,21.666666666666669,81.086453577635,0.09660116492737817,0.025181424223134194,50.52698649869251,0.02344252551160504,44.297873212964159,0.02344252551160504,16.977854333778024,0.0,2444596.4212732969,0.0,118125.1655986445,10496737.153070096,0.0,0.0,919184.035123975,1175446.3766734687,0.0,642976.6397166518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2080852.7079958802,0.0,363733.09891655397,0.0,-740.4291053300037,0.0,0.0,418.4386499702021,13416292.39980767,300723.85655891217,15797065.791456134,0.0,0.0,0.0 
