Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Mains Water Temperature [C](Hourly),LIVING_1:Zone Total Internal Latent Gain Energy [J](Hourly),LIVING_1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),WALLEAST:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WALLWEST:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WALLSOUTH:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WALLNORTH:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),HORIZONTAL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),LIVING_1:Zone Mean Air Temperature [C](Hourly),LIVING_1:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](Hourly),UNFINISHEDATTIC:Zone Mean Air Temperature [C](Hourly),UNFINISHEDATTIC:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](Hourly),UNFINISHEDATTIC:Zone Infiltration Current Density Volume Flow Rate [m3/s](Hourly),LIVING_1:Zone Infiltration Latent Heat Loss Energy [J](Hourly),LIVING_1:Zone Infiltration Latent Heat Gain Energy [J](Hourly),LIVING_1:Zone Ventilation Latent Heat Loss Energy [J](Hourly),LIVING_1:Zone Ventilation Latent Heat Gain Energy [J](Hourly),EMS:Zone Infil Flow Rate_1 [m3/s](Hourly),EMS:Zone Infil/MechVent Flow Rate_1 [m3/s](Hourly),EMS:Whole House Fan Vent Flow Rate_1 [m3/s](Hourly),EMS:Range Hood Fan Vent Flow Rate_1 [m3/s](Hourly),EMS:Bath Exhaust Fan Vent Flow Rate_1 [m3/s](Hourly),EMS:Clothes Dryer Exhaust Fan Vent Flow Rate_1 [m3/s](Hourly),EMS:Local Wind Speed_1 [m/s](Hourly),EMS:Zone Natural Ventilation Flow Rate_1 [m3/s](Hourly),EMS:HPWH_sens_clg_OutputVariable_1 [J](Hourly),EMS:HPWH_lat_clg_OutputVariable_1 [J](Hourly),LIVING_1:Zone Air Relative Humidity [%](Hourly),LIVING_1:Zone Thermostat Heating Setpoint Temperature [C](Hourly),LIVING_1:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),UNFINISHEDATTIC:Zone Air Relative Humidity [%](Hourly),DOMESTIC HOT WATER_1:Water Use Connections Hot Water Volume [m3](Hourly),DOMESTIC HOT WATER_1:Water Use Connections Cold Water Volume [m3](Hourly),DOMESTIC HOT WATER_1:Water Use Connections Hot Water Temperature [C](Hourly),LIVING SUPPLY NODE_1:System Node Current Density Volume Flow Rate [m3/s](Hourly),AIR SUPPLY OUTLET NODE_1:System Node Temperature [C](Hourly),AIR SUPPLY OUTLET NODE_1:System Node Current Density Volume Flow Rate [m3/s](Hourly),WATER HEATER USE INLET NODE_1:System Node Temperature [C](Hourly),COOLING:ELECTRICITY_1 [J](Hourly),CustomCrankcaseHeater_1:InteriorEquipment:Electricity [J](Hourly),HEATING:ELECTRICITY_1 [J](Hourly),HEATINGSUPP:ELECTRICITY_1 [J](Hourly),COOLING HVAC FAN PUMP_1 [J](Hourly),HEATING HVAC FAN PUMP_1 [J](Hourly),WATERHEATING:ELECTRICITY_1 [J](Hourly),SDHWPUMP:ELECTRICITY_1 [J](Hourly),HPWHFAN:ELECTRICITY_1 [J](Hourly),TOTALLIGHTS:ELECTRICITY_1 [J](Hourly),Appl_1:InteriorEquipment:Electricity [J](Hourly),VentFans_1:InteriorEquipment:Electricity [J](Hourly),Misc_1:InteriorEquipment:Electricity [J](Hourly),HEATING:GAS_1 [J](Hourly),WATERHEATING:GAS_1 [J](Hourly),Misc_1:InteriorEquipment:Gas [J](Hourly),HEATING:FUELOIL_1 [m3](Hourly),WATERHEATING:FUELOIL_1 [m3](Hourly),HEATING:PROPANE_1 [m3](Hourly),WATERHEATING:PROPANE_1 [m3](Hourly),PV:ELECTRICITY_1 [J](Hourly),METERDELIVEREDHEATINGTOZONE_1 [J](Hourly),METERDELIVEREDHEATINGSUPP_1 [J](Hourly),METERHEATINGDUCTLOSSES_1 [J](Hourly),METERDELIVEREDCOOLINGSENS_1 [J](Hourly),METERDELIVEREDCOOLINGLATENTHVAC_1 [J](Hourly),METERDELIVEREDCOOLINGLATENTDEHUM_1 [J](Hourly),METERCOOLINGDUCTLOSSESSENS_1 [J](Hourly),METERCOOLINGDUCTLOSSESLATENT_1 [J](Hourly),METERDHWDELIVERED_1 [J](Hourly),METERPIPELOSSESUNIT_1 [J](Hourly),ELECTRICITY:UNIT_1 [J](Hourly),GAS:UNIT_1 [J](Hourly),PROPANE:UNIT_1 [m3](Hourly),FUELOIL:UNIT_1 [m3](Hourly) 
 01/01  01:00:00,11.191666666666669,3.4499999999999999,8.3859652293225,0.0058259117386585119,99999.40770622576,4.058333333333334,248.33333333333335,0.9233293915977517,319.9166666666667,0.0,0.0,15.34179240702836,1.2141232436227719,16.977854333778024,486424.05580117568,0.0,0.0,0.0,0.0,0.0,0.0,21.666670589752486,0.00803136608090376,9.721267172916532,0.005541551682413238,0.33898907929833996,1026757.7681535956,0.0,0.0,0.0,0.04344033045831022,0.04344033045831022,0.0,0.0,0.0,0.0,2.1326172556174205,0.0,0.0,0.0,49.19208734249881,21.666666666666669,21.666666666666669,73.38699480824698,0.0007148582201639874,0.000217218901239903,51.272045530440319,0.14651652410978367,43.07880215476769,0.14651652410978367,16.97785433377803,0.0,28037.65120772452,3792750.226144529,0.0,0.0,643866.7648885921,0.0,0.0,0.0,232101.3385102575,373679.44523597307,0.0,523353.0788391353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10311974.257411996,0.0,1811381.935437419,0.0,0.0,0.0,0.0,0.0,102683.14450492217,27971.179850134722,5593788.504826211,0.0,0.0,0.0 
 01/01  02:00:00,14.75,7.983333333333334,11.312710802962317,0.007068540947807231,99708.5175236147,4.516666666666667,195.83333333333335,1.3699733062306337,322.0,0.0,0.0,15.34179240702836,1.193166972330926,16.977854333778024,481357.35305481,0.0,0.0,0.0,0.0,0.0,0.0,21.66667028730086,0.008024739336071032,12.252001098029027,0.005772376450309987,0.38365725048800378,469556.3195682504,0.0,0.0,0.0,0.04458156046598195,0.04458156046598195,0.0,0.0,0.0,0.0,2.3734672536850964,0.0,0.0,0.0,49.00898752279835,21.666666666666669,21.666666666666669,64.2955040836798,0.0,0.0,51.59660901192817,0.13321529837057104,44.88086773585673,0.13321529837057104,16.977854333778024,0.0,0.0,3604250.608074791,0.0,0.0,442747.6683184904,0.0,0.0,0.0,139260.80310615447,328133.8900845455,0.0,493447.1886197561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10420623.349309082,0.0,1516834.9614825925,0.0,-0.6180231586713226,0.0,0.0,0.6180231586713226,0.0,14008.038705043386,5007840.158203737,0.0,0.0,0.0 
 01/01  03:00:00,15.0,10.183333333333334,11.992418235984907,0.0076388394712040498,99687.33224420889,3.8083333333333337,194.16666666666667,-0.27137572430970166,314.4166666666667,0.0,0.0,15.34179240702836,1.1907982684842707,16.977854333778024,475379.03862594257,0.0,0.0,0.0,0.0,0.0,0.0,21.666670555094386,0.008032701931560476,13.353345095543276,0.006123489157574506,0.32160202076880026,158801.36360243255,0.0,0.0,0.0,0.036647226085347959,0.036647226085347959,0.0,0.0,0.0,0.0,2.0012445293986884,0.0,0.0,0.0,49.04657132436105,21.666666666666669,21.666666666666669,63.39847808593304,0.0,0.0,51.59660901192817,0.11668225860589417,45.018171566093517,0.11668225860589417,16.977854333778024,0.0,0.0,3185453.6301651785,0.0,0.0,449471.5926208542,0.0,0.0,0.0,92840.53540410308,286208.78738097797,0.0,478494.24351006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9173801.299655693,0.0,1335912.1016356168,0.0,-119.74828677959418,0.0,0.0,119.74828677959418,0.0,3502.0096762608546,4492468.7890811809,0.0,0.0,0.0 
 01/01  04:00:00,15.35,12.091666666666667,13.294660338033529,0.008835652778732505,99680.81369669938,4.183333333333334,201.66666666666667,-6.700632441988414,286.25,0.0,0.0,15.34179240702836,1.187021001194705,16.977854333778024,474273.0385259672,0.0,0.0,0.0,0.0,0.0,0.0,21.666670499338414,0.008056129208379433,13.815180889211133,0.0065457413294391169,0.3451872786000365,0.0,357960.29392213586,0.0,0.0,0.04065605570065466,0.04065605570065466,0.0,0.0,0.0,0.0,2.1983036187267865,0.0,0.0,0.0,49.184572481520998,21.666666666666669,21.666666666666669,65.71030970157874,0.0,0.0,51.59660901192817,0.11632383105648227,45.206799498116549,0.11632383105648227,16.977854333778024,0.0,0.0,3190492.5374848295,0.0,0.0,434368.06624328906,0.0,0.0,0.0,92840.53540410308,260475.54927234099,0.0,463541.29840037706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9277676.842566476,0.0,1277134.9510233922,0.0,-318.3758862474147,0.0,0.0,318.3758862474147,0.0,3502.0096762608546,4441717.98680494,0.0,0.0,0.0 
 01/01  05:00:00,15.891666666666666,13.441666666666669,14.771265865047172,0.010206826470409516,99667.7766016804,5.241666666666666,215.83333333333335,-17.121004625825845,244.33333333333335,0.0,0.0,15.34179240702836,1.1820715587563505,16.977854333778024,480870.9893997886,0.0,0.0,0.0,0.0,0.0,0.0,21.666670161554355,0.008112042097601257,14.104034948754622,0.007271915118615731,0.4227038363928411,0.0,1215799.5720794448,0.0,0.0,0.05332326527817144,0.05332326527817144,0.0,0.0,0.0,0.0,2.75444815971942,0.0,0.0,0.0,49.515046256313109,21.666666666666669,21.666666666666669,71.55410302582759,0.0,0.0,51.59660901192817,0.10957747333569608,45.49974300125314,0.10957747333569608,16.977854333778024,0.0,0.0,3033989.778010851,0.0,0.0,416761.15361348169,0.0,0.0,0.0,103217.7830885943,290558.8098442162,0.0,478494.24351006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8830101.127629295,0.0,1224924.4231519663,0.0,-754.1396821464255,0.0,0.0,754.1396821464255,0.0,14008.038705043386,4323021.76806721,0.0,0.0,0.0 
 01/01  06:00:00,15.808333333333332,13.549999999999999,15.232932580823582,0.010758000314118185,99655.5543251001,5.7,220.0,-23.69908405900999,219.58333333333335,0.0,0.0,15.34179240702836,1.1812368501493867,16.977854333778024,489114.50887568437,0.0,0.0,0.0,0.0,0.0,0.0,21.666670237591974,0.008200446161151462,13.989793325487425,0.008158160182020928,0.45453626712042435,0.0,1633675.4833672806,0.0,0.0,0.05936436893824054,0.05936436893824054,0.0,0.0,0.0,0.0,2.995298157787096,0.0,0.0,0.0,50.041504590276648,21.666666666666669,21.666666666666669,80.77807186128315,0.0,0.0,51.59660901192817,0.11143969790596303,45.45761113069553,0.11143969790596303,16.977854333778024,0.0,0.0,3079637.013934599,0.0,0.0,415885.6777662634,0.0,0.0,0.0,283217.4877937355,331960.2796802477,0.0,493447.1886197561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8980125.867700516,0.0,1224895.2489488002,0.0,-1216.2856206269469,0.0,0.0,1216.2856206269469,0.0,97921.57825544752,4604147.6477946019,0.0,0.0,0.0 
 01/01  07:00:00,15.599999999999996,13.65,15.19796953975252,0.010803915153700156,99661.25805417092,5.7,220.0,-24.661489053155589,216.16666666666667,2.5,31.25,15.34179240702836,1.1820707322191946,16.977854333778024,518193.7055229835,255699.63447627997,17.335379601433727,1.6404075679575803,1.7016234273743727,32.01653656727558,2.86601969260056,21.6666701672369,0.00830577545677619,13.631855531668846,0.008874290664495135,0.45635292549148689,0.0,2070923.6294614203,0.0,0.0,0.02980590201537703,0.07700064601537703,0.0,0.0,0.047194744000000007,0.0,2.995298157787096,0.0,0.0,0.0,50.67868717129026,21.666666666666669,21.666666666666669,89.82683353610185,0.0,0.0,51.59660901192817,0.10960803966900756,45.348036101688318,0.10960803966900758,16.977854333778024,0.0,0.0,3022758.7120504046,0.0,0.0,415760.0496353339,0.0,0.0,0.0,664916.4800206664,518425.7418022369,90000.0,553258.9690585142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760473.352463477,0.0,1231559.1718986647,0.0,-1417.745185111536,0.0,0.0,1417.745185111536,0.0,335699.0557615686,5265119.952567156,0.0,0.0,0.0 
 01/01  08:00:00,15.891666666666666,13.9,15.486326230249697,0.011009853148726013,99676.73960450595,5.7,220.0,-23.265666697686613,221.08333333333335,29.0,395.0833333333333,15.34179240702836,1.1806774838911525,16.977854333778024,510578.14099500179,3633346.280852545,275.41037688020978,24.269582189319995,25.23612330845312,409.2731384903083,81.84571832069412,21.66666911797344,0.008411209317644601,13.827970266385377,0.009422450946007506,0.45946346116201716,0.0,1671922.5302499615,0.0,0.0,0.059815710814562089,0.059815710814562089,0.0,0.0,0.0,0.0,2.995298157787096,0.0,0.0,0.0,51.32140227482566,21.666666666666669,21.666666666666669,94.0817527646165,0.002180528740566694,0.0006803869689602916,51.541025370226559,0.0850400462590306,45.50733856350388,0.0850400462590306,16.977854333778024,0.0,0.0,2375110.521259248,0.0,0.0,340393.77693613499,0.0,0.0,0.0,841434.6646481536,780520.0196475287,18000.0,628023.6946069624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6790646.182549759,0.0,1007785.886942971,0.0,-1204.788029453271,0.0,0.0,1204.788029453271,315175.4446834716,356666.2162591815,4983482.677098027,0.0,0.0,0.0 
 01/01  09:00:00,16.099999999999999,13.9,14.899938859106982,0.010260663033517222,99707.70270517604,5.7,214.16666666666667,-19.586400800056123,234.5,47.916666666666667,677.1666666666666,15.34179240702836,1.1815923844318659,16.977854333778024,384698.3612918047,6108993.8945689559,533.2220251075723,50.9628621343908,52.7108226554795,574.6137247470816,247.21217511033226,21.666668067060276,0.008499101734127548,14.978210069162449,0.00978943021783405,0.44994285257800117,0.0,1143345.214374704,0.0,0.0,0.060346391559500927,0.060346391559500927,0.0,0.0,0.0,0.0,2.995298157787096,0.0,0.0,0.0,51.86657053232445,21.666666666666669,21.666666666666669,90.73752951220352,0.02084267495719843,0.006412046103858484,51.44249656528012,0.05947403082074628,45.62382677877756,0.05947403082074628,16.977854333778024,0.0,0.0,1682019.3841133663,0.0,0.0,241759.60477337533,4083106.667710726,0.0,0.0,894208.7227785434,966528.6298489412,0.0,642976.6397166518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4784417.374430357,0.0,695251.7961070454,0.0,-845.0851357196238,0.0,0.0,845.0851357196238,3002541.7391842135,342658.1775541382,8510599.648941605,0.0,0.0,0.0 
 01/01  10:00:00,16.45,14.010137007760532,14.075802314140545,0.009207535614986348,99712.59161580814,5.3500000000000009,210.0,-16.783997068380747,244.91666666666667,62.416666666666667,802.0833333333334,15.34179240702836,1.182191074295601,16.977854333778024,1843371.9324272895,6770757.941164998,710.7232185145843,73.41929507318067,75.6446133894399,529.7565308929956,405.1464661308676,21.670341732219258,0.008565193796634749,16.710796599586865,0.00976050300810504,0.4142983930795428,0.0,393950.92486360887,0.0,0.0,0.056181268581617729,0.056181268581617729,0.0,0.0,0.0,0.0,2.8113763410808709,0.0,0.0,0.0,52.25516446770891,21.666666666666669,21.666666666666669,81.06201241238334,0.0966011650077923,0.02518142414272006,50.526986505840138,0.02626268698068286,41.716868265103759,0.02626268698068286,16.977854333778024,0.0,0.0,750065.0886850739,0.0,0.0,147892.4684689615,10496737.172484871,0.0,0.0,919184.035123975,1175446.3766734687,0.0,642976.6397166518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2057454.860266606,0.0,375009.8173995602,0.0,-775.7805564678237,0.0,0.0,438.04614336187276,13416292.399807672,300723.85655891217,14132301.781153003,0.0,0.0,0.0 
