wmo_id,city,state_abbr,state_name,country,source,label
712850,Abee AgDM,AB,Alberta,CAN,TMYx,"Abee AgDM, AB (WMO 712850)"
710480,Acadia Valley,AB,Alberta,CAN,TMYx,"Acadia Valley, AB (WMO 710480)"
710050,Albert Hall AgCM,AB,Alberta,CAN,TMYx,"Albert Hall AgCM, AB (WMO 710050)"
710060,Alliance AgCM,AB,Alberta,CAN,TMYx,"Alliance AgCM, AB (WMO 710060)"
712860,Andrew AgDM,AB,Alberta,CAN,TMYx,"Andrew AgDM, AB (WMO 712860)"
712710,Athabasca AgCM,AB,Alberta,CAN,TMYx,"Athabasca AgCM, AB (WMO 712710)"
719860,Atlee AgCM,AB,Alberta,CAN,TMYx,"Atlee AgCM, AB (WMO 719860)"
712870,Atmore AgDM,AB,Alberta,CAN,TMYx,"Atmore AgDM, AB (WMO 712870)"
719810,Azure,AB,Alberta,CAN,TMYx,"Azure, AB (WMO 719810)"
711220,Banff CS,AB,Alberta,CAN,TMYx,"Banff CS, AB (WMO 711220)"
713460,Barnwell AgDM,AB,Alberta,CAN,TMYx,"Barnwell AgDM, AB (WMO 713460)"
710070,Barons AgCM,AB,Alberta,CAN,TMYx,"Barons AgCM, AB (WMO 710070)"
710610,Barrhead AP,AB,Alberta,CAN,TMYx,"Barrhead AP, AB (WMO 710610)"
710080,Bassano AgCM,AB,Alberta,CAN,TMYx,"Bassano AgCM, AB (WMO 710080)"
713040,Beaver Mines,AB,Alberta,CAN,TMYx,"Beaver Mines, AB (WMO 713040)"
712300,Beaverlodge RCS,AB,Alberta,CAN,TMYx,"Beaverlodge RCS, AB (WMO 712300)"
710090,Beiseker AgCM,AB,Alberta,CAN,TMYx,"Beiseker AgCM, AB (WMO 710090)"
710100,Bellshill AgCM,AB,Alberta,CAN,TMYx,"Bellshill AgCM, AB (WMO 710100)"
710110,Big Valley AgCM,AB,Alberta,CAN,TMYx,"Big Valley AgCM, AB (WMO 710110)"
719820,Black Diamond,AB,Alberta,CAN,TMYx,"Black Diamond, AB (WMO 719820)"
715170,Blood Tribe AgDM,AB,Alberta,CAN,TMYx,"Blood Tribe AgDM, AB (WMO 715170)"
712140,Bodo AGDM,AB,Alberta,CAN,TMYx,"Bodo AGDM, AB (WMO 712140)"
712310,Bow Island,AB,Alberta,CAN,TMYx,"Bow Island, AB (WMO 712310)"
715190,Bow Island Irrigation AgDM,AB,Alberta,CAN,TMYx,"Bow Island Irrigation AgDM, AB (WMO 715190)"
712320,Bow Valley Prov Park,AB,Alberta,CAN,TMYx,"Bow Valley Prov Park, AB (WMO 712320)"
712330,Breton Plots,AB,Alberta,CAN,TMYx,"Breton Plots, AB (WMO 712330)"
713410,Brocket AgDM,AB,Alberta,CAN,TMYx,"Brocket AgDM, AB (WMO 713410)"
714570,Brooks,AB,Alberta,CAN,TMYx,"Brooks, AB (WMO 714570)"
712830,Brownvale AgCM,AB,Alberta,CAN,TMYx,"Brownvale AgCM, AB (WMO 712830)"
718390,Bullhorn Coulee Reservoir,AB,Alberta,CAN,TMYx,"Bullhorn Coulee Reservoir, AB (WMO 718390)"
710160,Bullhorn Headwaters,AB,Alberta,CAN,TMYx,"Bullhorn Headwaters, AB (WMO 710160)"
712840,Busby AgCM,AB,Alberta,CAN,TMYx,"Busby AgCM, AB (WMO 712840)"
711200,CFB Cold Lake AP,AB,Alberta,CAN,TMYx,"CFB Cold Lake AP, AB (WMO 711200)"
711210,CFB Edmonton,AB,Alberta,CAN,TMYx,"CFB Edmonton, AB (WMO 711210)"
711180,CFB Wainwright-Wainwright Field 21 AF,AB,Alberta,CAN,TMYx,"CFB Wainwright-Wainwright Field 21 AF, AB (WMO 711180)"
710120,Cadogan AgCM,AB,Alberta,CAN,TMYx,"Cadogan AgCM, AB (WMO 710120)"
718770,Calgary Intl AP,AB,Alberta,CAN,TMYx,"Calgary Intl AP, AB (WMO 718770)"
712350,Calgary-Canadian Olympic Park Upper,AB,Alberta,CAN,TMYx,"Calgary-Canadian Olympic Park Upper, AB (WMO 712350)"
718600,Calgary-Springbank AP,AB,Alberta,CAN,TMYx,"Calgary-Springbank AP, AB (WMO 718600)"
716360,Campsie,AB,Alberta,CAN,TMYx,"Campsie, AB (WMO 716360)"
712540,Camrose AP,AB,Alberta,CAN,TMYx,"Camrose AP, AB (WMO 712540)"
711530,Cardston,AB,Alberta,CAN,TMYx,"Cardston, AB (WMO 711530)"
718840,Castlegar-West Kootenay Rgnl AP-Yarmouth RCS,AB,Alberta,CAN,TMYx,"Castlegar-West Kootenay Rgnl AP-Yarmouth RCS, AB (WMO 718840)"
712170,Champion AgDM,AB,Alberta,CAN,TMYx,"Champion AgDM, AB (WMO 712170)"
712340,Claresholm AP,AB,Alberta,CAN,TMYx,"Claresholm AP, AB (WMO 712340)"
712210,Cleardale AgDM,AB,Alberta,CAN,TMYx,"Cleardale AgDM, AB (WMO 712210)"
712230,Consort AgDM,AB,Alberta,CAN,TMYx,"Consort AgDM, AB (WMO 712230)"
713180,Coronation AP,AB,Alberta,CAN,TMYx,"Coronation AP, AB (WMO 713180)"
710130,Craigmyle AgCM,AB,Alberta,CAN,TMYx,"Craigmyle AgCM, AB (WMO 710130)"
713800,Crestomere AgCM,AB,Alberta,CAN,TMYx,"Crestomere AgCM, AB (WMO 713800)"
712360,Crowsnest,AB,Alberta,CAN,TMYx,"Crowsnest, AB (WMO 712360)"
